Lurraldea;Udalerria;Udalerriaren kod.;Hauteskunde-oharra;Oharra;Errolda;Botoak;Baliogabeak;Baliodunak;Zuriak;Botoak hautagaitzei;Abstentzioa;EAJ-PNV;PP;PH;PCTE / ELAK;PSE-EE/PSOE;PUM+J;O.E.;EH BILDU;VOX;EB-AZ;PACMA;PODEMOS-AHAL DUGU - ALIANZA VERDE;IZAN;SUMAR
Araba;AGURAIN/SALVATIERRA;	051;;;3621;2151;13;2138;24;2114;1470;31.95;4.16;;;6.22;0.05;0.0;49.81;2.06;0.09;0.56;1.54;;2.43
Araba;ALEGRÍA-DULANTZI;	001;;;2128;1222;15;1207;13;1194;906;34.13;6.96;;;13.26;0.08;0.08;33.22;4.64;0.41;0.33;2.9;;2.9
Araba;AMURRIO;	002;;;7904;5334;48;5286;57;5229;2570;36.36;5.16;;;10.2;0.04;0.13;38.84;2.19;0.36;0.57;2.42;;2.65
Araba;AÑANA;	049;;;126;91;1;90;2;88;35;32.22;10.0;;;6.67;1.11;0.0;38.89;2.22;0.0;2.22;1.11;;3.33
Araba;ARAMAIO;	003;;;1138;715;28;687;6;681;423;28.82;0.29;;;2.33;0.15;0.15;60.41;0.73;0.15;0.29;3.35;;2.47
Araba;ARMIÑÓN;	006;;;193;112;5;107;2;105;81;32.71;16.82;;;10.28;0.0;0.0;24.3;9.35;0.93;0.93;0.0;;2.8
Araba;ARRAIA-MAEZTU;	037;;;632;420;8;412;7;405;212;41.5;11.41;;;3.4;0.0;0.0;34.95;1.94;0.0;0.24;3.16;;1.7
Araba;ARRATZUA-UBARRUNDIA;	008;;;849;516;8;508;6;502;333;33.07;10.43;;;11.02;0.2;0.0;36.42;2.76;0.79;0.39;1.57;;2.17
Araba;ARTZINIEGA;	004;;;1427;961;18;943;16;927;466;37.33;7.53;;;7.74;0.0;0.11;39.34;1.8;0.0;0.74;1.59;;2.12
Araba;ASPARRENA;	009;;;1282;865;6;859;6;853;417;30.15;2.21;;;6.64;0.12;0.35;53.55;1.28;0.23;0.35;2.21;;2.21
Araba;AYALA/AIARA;	010;;;2334;1545;31;1514;24;1490;789;41.02;4.82;;;6.14;0.26;0.0;40.29;1.78;0.2;0.33;1.39;;2.18
Araba;BAÑOS DE EBRO/MAÑUETA;	011;;;223;167;7;160;5;155;56;43.12;35.0;;;7.5;0.0;0.0;4.38;5.0;0.62;0.0;0.0;;1.25
