UDALERRIA HAUTESKUNDE-EMAITZEN ZERRENDA;;;;;;;;;;;;;EAJ-PNV;EAJ-PNV;EAJ-PNV;PP;PP;PP;PH;PH;PH;PCTE / ELAK;PCTE / ELAK;PCTE / ELAK;PSE-EE/PSOE;PSE-EE/PSOE;PSE-EE/PSOE;PUM+J;PUM+J;PUM+J;O.E.;O.E.;O.E.;EH BILDU;EH BILDU;EH BILDU;VOX;VOX;VOX;EB-AZ;EB-AZ;EB-AZ;PACMA;PACMA;PACMA;PODEMOS-AHAL DUGU - ALIANZA VERDE;PODEMOS-AHAL DUGU - ALIANZA VERDE;PODEMOS-AHAL DUGU - ALIANZA VERDE;IZAN;IZAN;IZAN;SUMAR;SUMAR;SUMAR
LH;Udalerria;Udalerriaren kod.;Hauteskunde-oharra;Oharra;Errolda;Botoak;Baliogabeak;Baliodunak;Zuriak;Botoak hautagaitzei;Abstentzioa;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak;B. Hautagaitzari;%B. Hautagaitzari;%B. Baliodunak
Araba;AGURAIN/SALVATIERRA;	051;;;3621;2151;13;2138;24;2114;1470;683;32.31;31.95;89;4.21;4.16;;;;;;;133;6.29;6.22;1;0.05;0.05;0;0.0;0.0;1065;50.38;49.81;44;2.08;2.06;2;0.09;0.09;12;0.57;0.56;33;1.56;1.54;;;;52;2.46;2.43
Araba;ALEGRÍA-DULANTZI;	001;;;2128;1222;15;1207;13;1194;906;412;34.51;34.13;84;7.04;6.96;;;;;;;160;13.4;13.26;1;0.08;0.08;1;0.08;0.08;401;33.58;33.22;56;4.69;4.64;5;0.42;0.41;4;0.34;0.33;35;2.93;2.9;;;;35;2.93;2.9
Araba;AMURRIO;	002;;;7904;5334;48;5286;57;5229;2570;1922;36.76;36.36;273;5.22;5.16;;;;;;;539;10.31;10.2;2;0.04;0.04;7;0.13;0.13;2053;39.26;38.84;116;2.22;2.19;19;0.36;0.36;30;0.57;0.57;128;2.45;2.42;;;;140;2.68;2.65
Araba;AÑANA;	049;;;126;91;1;90;2;88;35;29;32.95;32.22;9;10.23;10.0;;;;;;;6;6.82;6.67;1;1.14;1.11;0;0.0;0.0;35;39.77;38.89;2;2.27;2.22;0;0.0;0.0;2;2.27;2.22;1;1.14;1.11;;;;3;3.41;3.33
Araba;ARAMAIO;	003;;;1138;715;28;687;6;681;423;198;29.07;28.82;2;0.29;0.29;;;;;;;16;2.35;2.33;1;0.15;0.15;1;0.15;0.15;415;60.94;60.41;5;0.73;0.73;1;0.15;0.15;2;0.29;0.29;23;3.38;3.35;;;;17;2.5;2.47
Araba;ARMIÑÓN;	006;;;193;112;5;107;2;105;81;35;33.33;32.71;18;17.14;16.82;;;;;;;11;10.48;10.28;0;0.0;0.0;0;0.0;0.0;26;24.76;24.3;10;9.52;9.35;1;0.95;0.93;1;0.95;0.93;0;0.0;0.0;;;;3;2.86;2.8
Araba;ARRAIA-MAEZTU;	037;;;632;420;8;412;7;405;212;171;42.22;41.5;47;11.6;11.41;;;;;;;14;3.46;3.4;0;0.0;0.0;0;0.0;0.0;144;35.56;34.95;8;1.98;1.94;0;0.0;0.0;1;0.25;0.24;13;3.21;3.16;;;;7;1.73;1.7
Araba;ARRATZUA-UBARRUNDIA;	008;;;849;516;8;508;6;502;333;168;33.47;33.07;53;10.56;10.43;;;;;;;56;11.16;11.02;1;0.2;0.2;0;0.0;0.0;185;36.85;36.42;14;2.79;2.76;4;0.8;0.79;2;0.4;0.39;8;1.59;1.57;;;;11;2.19;2.17
Araba;ARTZINIEGA;	004;;;1427;961;18;943;16;927;466;352;37.97;37.33;71;7.66;7.53;;;;;;;73;7.87;7.74;0;0.0;0.0;1;0.11;0.11;371;40.02;39.34;17;1.83;1.8;0;0.0;0.0;7;0.76;0.74;15;1.62;1.59;;;;20;2.16;2.12
Araba;ASPARRENA;	009;;;1282;865;6;859;6;853;417;259;30.36;30.15;19;2.23;2.21;;;;;;;57;6.68;6.64;1;0.12;0.12;3;0.35;0.35;460;53.93;53.55;11;1.29;1.28;2;0.23;0.23;3;0.35;0.35;19;2.23;2.21;;;;19;2.23;2.21
